Date,HSCI,consumer_goods_manufacturing,consumer_service,energy,finance,industry,information_technology,integrated_industry,raw_material,real_estate,telecommunications,utilities
2006/1/3,1959.28,2689.21,2434.09,5755.13,2445.95,1627.26,1395.01,1829.13,5794.86,2078.74,904.54,3634.74
2006/1/4,1995.38,2738.57,2475.95,5915.8,2482.11,1634.03,1423.07,1852.45,5897.85,2142.5,925.11,3644.6
2006/1/5,2007.24,2767.52,2499.24,5944.04,2487.77,1653.59,1444.54,1860.03,5927.61,2173.32,932.59,3616.47
2006/1/6,2019.2,2799.08,2516.36,5956.46,2509.5,1661.27,1467.1,1875.08,5916.75,2179.48,931.51,3644.76
2006/1/9,2047.25,2838.59,2537.99,6099.13,2550.57,1709.59,1464.8,1902.65,5998.05,2217.19,939.9,3662.54
2006/1/10,2045.73,2829.47,2530.64,6110.22,2562.39,1717.37,1462.58,1905.95,5946.59,2209.87,930.02,3659.16
2006/1/11,2052.23,2835.34,2534.84,6235.19,2560.7,1707.83,1458.91,1905.42,5881.39,2219.03,940.21,3647.9
2006/1/12,2062.78,2848.25,2559.61,6327.32,2564.47,1699.07,1468.07,1918.87,5974.91,2221.81,945.24,3688.06
2006/1/13,2073.65,2872.76,2568.95,6419.3,2573.84,1705.04,1479.95,1938.55,6050.21,2222.19,949.89,3689.12
2006/1/16,2080.21,2889.01,2581.34,6523.96,2574.84,1698.12,1505.62,1936.67,6182.89,2229.92,949.4,3699.1
2006/1/17,2054.34,2864.38,2541.81,6521.56,2544.9,1691.1,1482.3,1908.64,6188.96,2203.6,929.06,3668.93
2006/1/18,2046.16,2855.41,2520.46,6634.09,2536.44,1663.26,1448.1,1908.74,6356.07,2193.92,913.37,3678.54
2006/1/19,2074.65,2868.25,2560.3,6724.15,2565.35,1688.52,1469.7,1939.45,6488.41,2233.25,930.37,3702.66
2006/1/20,2073.82,2874.83,2553.16,6809.44,2554.61,1670.71,1482.91,1931.13,6447.34,2236.49,933.94,3675.62
2006/1/23,2048.09,2845.79,2516.27,6792.24,2534.67,1661.1,1444.05,1911.34,6432.78,2185.82,916.94,3625.28
2006/1/24,2062.26,2889.44,2532.93,6872.4,2539.67,1675.97,1469.47,1930.7,6460.54,2207.71,920.57,3662.86
2006/1/25,2064.53,2935.16,2552.02,6833.75,2536.24,1696.19,1470.62,1928.01,6523.26,2213.88,920.28,3679.51
2006/1/26,2061.29,2941.34,2552.24,6778.54,2540.67,1704.67,1440.12,1926.52,6589.31,2211.39,915.63,3670.67
2006/1/27,2094.13,2978.57,2598.31,7018.82,2566.45,1711.18,1464.17,1953.11,6760.22,2248.89,933.28,3717.43
2006/2/1,2104.37,3006.73,2616.25,7288.8,2555.92,1720.86,1481.2,1945.4,6993.63,2254.48,940.63,3727.72
